Objeto;Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;;0;28,0;10,726853492873822;1,308583937009189;.\originalGrayDataset;0006.png
;;1;7,5;3,23606797749979;1,23606797749979;.\originalGrayDataset;0006.png
;;1;5,5;5,274258481434536;1,946056459258261;.\originalGrayDataset;0008.png
;;1;3,0;5,339062088964491;2,338744246846464;.\originalGrayDataset;0018.png
;;2;114,0;4,363338213437162;1,65500979239906;.\originalGrayDataset;0023.png
;;0;27,0;4,898979485566356;1,936491673103709;.\originalGrayDataset;0036.png
;;1;84,5;3,677088528342677;0,837402040213009;.\originalGrayDataset;0042.png
;;2;77,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0042.png
;;0;69,0;4,155374705678736;1,905471133100374;.\originalGrayDataset;0046.png
;;1;60,0;8,09473590984606;1,843455308090119;.\originalGrayDataset;0046.png
;;0;50,0;3,23606797749979;1,23606797749979;.\originalGrayDataset;0047.png
;;1;126,0;12,110935147179998;3,071142544309353;.\originalGrayDataset;0055.png
;;2;90,5;3,265986323710904;2,0;.\originalGrayDataset;0055.png
;;0;8971,5;11,32918764347088;1,111883176656101;.\originalGrayDataset;0057.png
;;2;135,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0057.png
;;2;30,5;4,634736211286691;1,826347935745029;.\originalGrayDataset;0069.png
;;0;201,0;18,18470283102429;1,937777837456435;.\originalGrayDataset;0072.png
;;1;63,0;6,97032909177562;2,879151325016879;.\originalGrayDataset;0096.png
;;1;26,0;8,543243368699288;1,822274691386545;.\originalGrayDataset;0098.png
;;0;53,0;7,141921394560869;1,913014757021073;.\originalGrayDataset;0118.png
;;1;16,5;3,265986323710904;2,0;.\originalGrayDataset;0119.png
;;0;15735,5;8,689828890484105;2,193947234176953;.\originalGrayDataset;0160.png
;;1;372,5;4,363338213437162;1,65500979239906;.\originalGrayDataset;0267.png
;;1;1,0;4,743365517193277;1,34925296749785;.\originalGrayDataset;0268.png
;;0;240,0;2,309401076758503;1,333333333333333;.\originalGrayDataset;0284.png
;;1;3,5;4,27617987059879;2,285714285714286;.\originalGrayDataset;0285.png
;;0;5,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0287.png
;;0;107,5;3,464101615137754;1,414213562373095;.\originalGrayDataset;0298.png
;;1;36,5;12,621503595670143;10,118784301724007;.\originalGrayDataset;0298.png
;;2;6,0;5,23606797749979;0,76393202250021;.\originalGrayDataset;0298.png
;;0;682,0;3,829708431025352;1,885618083164127;.\originalGrayDataset;0309.png
;;0;246,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0314.png
;;1;32,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0314.png
;;2;3,0;5,656854249492381;2,0;.\originalGrayDataset;0314.png
;;0;0,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0328.png
;;0;487,0;6,825641401682367;4,696233638283426;.\originalGrayDataset;0330.png
;;1;2,5;4,0;1,632993161855452;.\originalGrayDataset;0363.png
;;2;2,0;7,141921394560869;1,913014757021073;.\originalGrayDataset;0363.png
;;0;964,5;10,039494450311793;1,745074747979658;.\originalGrayDataset;0367.png
;;0;12,0;30,09764106733092;3,074139861282598;.\originalGrayDataset;0378.png
;;0;3,5;4,09878030638384;2,993325909419153;.\originalGrayDataset;0392.png
;;0;9,0;5,133805351608393;1,542315301534688;.\originalGrayDataset;0397.png
;;2;0,5;8,957771907609729;1,239395106096407;.\originalGrayDataset;0397.png
;;1;2,5;9,198243604151171;1,549380218507389;.\originalGrayDataset;0398.png
;;1;44,0;4,0;1,632993161855452;.\originalGrayDataset;0404.png
;;0;39,5;5,444424563872507;2,253495322449476;.\originalGrayDataset;0414.png
;;1;3585,5;4,363338213437162;1,65500979239906;.\originalGrayDataset;0416.png
;;0;7,0;29,37865317151452;1,998156295092361;.\originalGrayDataset;0427.png
;;0;277,0;7,657391339519791;1,168057307432856;.\originalGrayDataset;0456.png
;;0;33,0;4,34169545110285;1,27658944452507;.\originalGrayDataset;0472.png
;;1;10,5;13,63506992084146;3,471307225705276;.\originalGrayDataset;0472.png
;;0;188,5;2,0;2,0;.\originalGrayDataset;0516.png
;;2;232,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0557.png
;;1;547,0;4,680205767201096;1,046744465787899;.\originalGrayDataset;0558.png
;;2;258,0;7,255727211081854;4,393047584856187;.\originalGrayDataset;0575.png
;;1;595,5;3,829708431025352;1,885618083164126;.\originalGrayDataset;0578.png
;;2;420,5;5,055959348388901;2,688989307749464;.\originalGrayDataset;0578.png
;;2;368,5;5,547001962252291;2,935197542821371;.\originalGrayDataset;0591.png
;;2;5,0;5,694095360864592;4,578758906452833;.\augmentedDataset\contrast_stretching;0006.png
;;1;21,0;3,23606797749979;1,23606797749979;.\augmentedDataset\contrast_stretching;0007.png
;;2;7,0;10,747248050446096;1,801848867741848;.\augmentedDataset\contrast_stretching;0007.png
;;0;5,5;7,073322178722952;2,960398808750443;.\augmentedDataset\contrast_stretching;0008.png
;;0;26,0;5,664042473303187;2,44974845417171;.\augmentedDataset\contrast_stretching;0009.png
;;2;4,0;8,454128256016611;1,685753545924905;.\augmentedDataset\contrast_stretching;0009.png
;;2;113,0;7,887165627530472;1,610160974530768;.\augmentedDataset\contrast_stretching;0023.png
;;2;7,0;7,161162398353258;4,122976138996369;.\augmentedDataset\contrast_stretching;0036.png
;;1;87,0;3,829708431025352;1,885618083164127;.\augmentedDataset\contrast_stretching;0042.png
;;1;71,5;5,912809357935427;0,937382257518902;.\augmentedDataset\contrast_stretching;0046.png
;;2;114,0;6,000854367100811;1,9725570797187;.\augmentedDataset\contrast_stretching;0057.png
;;1;51,0;9,419337793277204;1,652784570933211;.\augmentedDataset\contrast_stretching;0069.png
;;0;201,5;10,160075468405529;1,424452464426814;.\augmentedDataset\contrast_stretching;0072.png
;;1;79,5;12,79449879416728;1,924100088423083;.\augmentedDataset\contrast_stretching;0072.png
;;1;761,0;5,163977794943222;1,49071198499986;.\augmentedDataset\contrast_stretching;0081.png
;;0;88,0;6,870164838622471;2,527179041287643;.\augmentedDataset\contrast_stretching;0085.png
;;2;57,0;9,169087993043243;1,880615395214858;.\augmentedDataset\contrast_stretching;0085.png
;;2;12,5;4,34169545110285;1,27658944452507;.\augmentedDataset\contrast_stretching;0098.png
;;0;44,5;6,586417573021535;1,685623260404093;.\augmentedDataset\contrast_stretching;0101.png
;;1;17,0;4,976979969245306;1,79712837207891;.\augmentedDataset\contrast_stretching;0118.png
;;0;4011,5;3,098386676965933;1,788854381999832;.\augmentedDataset\contrast_stretching;0119.png
;;0;381,5;2,309401076758503;1,333333333333333;.\augmentedDataset\contrast_stretching;0267.png
;;0;240,0;2,309401076758503;1,333333333333333;.\augmentedDataset\contrast_stretching;0284.png
;;1;3,5;4,27617987059879;2,285714285714286;.\augmentedDataset\contrast_stretching;0285.png
;;0;5,0;3,098386676965933;1,788854381999832;.\augmentedDataset\contrast_stretching;0287.png
;;1;1,0;7,223422250838757;1,171832494109465;.\augmentedDataset\contrast_stretching;0300.png
;;0;682,0;3,829708431025352;1,885618083164127;.\augmentedDataset\contrast_stretching;0309.png
;;0;0,5;3,098386676965933;1,788854381999832;.\augmentedDataset\contrast_stretching;0328.png
;;0;487,0;6,825641401682367;4,696233638283426;.\augmentedDataset\contrast_stretching;0330.png
;;0;970,5;3,098386676965933;1,788854381999832;.\augmentedDataset\contrast_stretching;0363.png
;;0;964,5;15,997433810077338;1,685075994341789;.\augmentedDataset\contrast_stretching;0367.png
;;1;13,0;4,381780460041329;2,683281572999748;.\augmentedDataset\contrast_stretching;0367.png
;;0;921,5;6,293163499599471;3,189650599217213;.\augmentedDataset\contrast_stretching;0376.png
;;0;12,0;5,485458865381723;2,649689066157795;.\augmentedDataset\contrast_stretching;0378.png
;;0;950,0;9,305867919074473;2,374050629280605;.\augmentedDataset\contrast_stretching;0392.png
;;1;52,0;3,677088528342677;0,837402040213009;.\augmentedDataset\contrast_stretching;0392.png
;;0;9,0;3,885753375057407;2,795442890696132;.\augmentedDataset\contrast_stretching;0397.png
;;2;3,0;5,366563145999495;2,190890230020665;.\augmentedDataset\contrast_stretching;0398.png
;;0;212,5;4,363338213437162;1,65500979239906;.\augmentedDataset\contrast_stretching;0404.png
;;1;42,0;2,309401076758503;1,333333333333333;.\augmentedDataset\contrast_stretching;0404.png
;;0;8,0;5,545131758410893;1,302289609229592;.\augmentedDataset\contrast_stretching;0413.png
;;1;1,0;4,507893913753563;2,104493398028036;.\augmentedDataset\contrast_stretching;0413.png
;;1;3585,0;2,309401076758503;1,333333333333333;.\augmentedDataset\contrast_stretching;0416.png
;;0;153,5;4,0;1,632993161855452;.\augmentedDataset\contrast_stretching;0439.png
;;1;45,5;4,363338213437162;1,65500979239906;.\augmentedDataset\contrast_stretching;0439.png
;;2;5,5;2,309401076758503;1,333333333333333;.\augmentedDataset\contrast_stretching;0456.png
;;0;478,0;12,183721972578796;1,885979558452495;.\augmentedDataset\contrast_stretching;0474.png
;;2;8,0;4,507893913753563;2,104493398028036;.\augmentedDataset\contrast_stretching;0474.png
;;2;46,0;2,0;2,0;.\augmentedDataset\contrast_stretching;0516.png
;;0;894,0;5,420936446930496;2,142138342945171;.\augmentedDataset\contrast_stretching;0557.png
;;0;4299,0;7,704827029912549;2,551595665290443;.\augmentedDataset\contrast_stretching;0575.png
;;1;1499,0;3,098386676965933;1,788854381999832;.\augmentedDataset\contrast_stretching;0575.png
;;2;141,5;15,741781671488786;4,71268306833852;.\augmentedDataset\contrast_stretching;0578.png
;;1;367,5;10,112711579135354;6,01107848203812;.\augmentedDataset\contrast_stretching;0591.png
;;2;202,5;3,098386676965933;1,788854381999832;.\augmentedDataset\contrast_stretching;0591.png
;;0;21,5;6,19918385483571;2,032269552481725;.\augmentedDataset\exp_transform;0007.png
;;0;7,0;7,073322178722952;2,960398808750443;.\augmentedDataset\exp_transform;0008.png
;;1;4,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0009.png
;;0;18,5;4,093338188813542;1,563516060678838;.\augmentedDataset\exp_transform;0018.png
;;1;3,5;4,0;1,385640646055102;.\augmentedDataset\exp_transform;0018.png
;;2;114,5;4,849661197520208;1,346892572776387;.\augmentedDataset\exp_transform;0023.png
;;1;6,5;7,778438730945683;3,894964586743568;.\augmentedDataset\exp_transform;0036.png
;;1;19,0;7,416555158086702;2,782931832987928;.\augmentedDataset\exp_transform;0047.png
;;2;12,0;6,052283110938236;1,695889732428958;.\augmentedDataset\exp_transform;0047.png
;;2;71,5;13,294045334245;1,693214271140473;.\augmentedDataset\exp_transform;0055.png
;;1;83,0;2,0;2,0;.\augmentedDataset\exp_transform;0069.png
;;0;2006,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0081.png
;;1;756,5;7,554371880072024;1,975317619716008;.\augmentedDataset\exp_transform;0081.png
;;2;25,5;4,277662731533559;2,643019518000728;.\augmentedDataset\exp_transform;0085.png
;;1;60,0;9,390955554120035;1,951910290085594;.\augmentedDataset\exp_transform;0096.png
;;2;54,5;16,05277862402831;1,795410384268644;.\augmentedDataset\exp_transform;0096.png
;;1;14,0;12,19200534170128;2,261637846324536;.\augmentedDataset\exp_transform;0098.png
;;1;39,0;5,545131758410893;1,302289609229592;.\augmentedDataset\exp_transform;0101.png
;;2;32,5;2,529822128134704;2,529822128134704;.\augmentedDataset\exp_transform;0101.png
;;2;17,0;4,363338213437162;1,65500979239906;.\augmentedDataset\exp_transform;0118.png
;;1;1142,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0119.png
;;1;4635,0;14,50670539538589;9,899153950313178;.\augmentedDataset\exp_transform;0160.png
;;2;4380,0;5,364197441180124;3,470117050280702;.\augmentedDataset\exp_transform;0160.png
;;0;273,5;5,670233719167884;2,047957172979267;.\augmentedDataset\exp_transform;0267.png
;;1;36,5;5,274258481434536;1,946056459258261;.\augmentedDataset\exp_transform;0268.png
;;2;9,0;22,732200493481287;4,278997111441487;.\augmentedDataset\exp_transform;0268.png
;;1;18,5;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0284.png
;;1;191,0;2,0;2,0;.\augmentedDataset\exp_transform;0285.png
;;0;5,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0287.png
;;0;7,0;5,133805351608394;1,542315301534688;.\augmentedDataset\exp_transform;0300.png
;;1;1,0;5,481304866996842;1,615041231525229;.\augmentedDataset\exp_transform;0300.png
;;1;3,5;3,829708431025352;1,885618083164127;.\augmentedDataset\exp_transform;0309.png
;;0;13,5;5,720932084886622;2,425387871670981;.\augmentedDataset\exp_transform;0328.png
;;0;180,5;6,825641401682367;4,696233638283426;.\augmentedDataset\exp_transform;0330.png
;;0;44231,0;6,011486661777879;1,280549059210314;.\augmentedDataset\exp_transform;0343.png
;;1;12811,5;4,0;1,632993161855452;.\augmentedDataset\exp_transform;0343.png
;;2;5747,0;4,363338213437162;1,65500979239906;.\augmentedDataset\exp_transform;0343.png
;;1;56,5;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0376.png
;;2;55,5;3,651483716701108;2,10818510677892;.\augmentedDataset\exp_transform;0376.png
;;0;19,5;6,634722320091395;2,468110784870113;.\augmentedDataset\exp_transform;0378.png
;;0;67,0;7,81909407898575;3,065067659332876;.\augmentedDataset\exp_transform;0381.png
;;1;63,0;7,637552085649442;2,846714649936208;.\augmentedDataset\exp_transform;0381.png
;;2;27,5;9,428090415820634;3,586286944269689;.\augmentedDataset\exp_transform;0381.png
;;1;3,5;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0398.png
;;0;0,5;6,124860850357414;2,210447819732249;.\augmentedDataset\exp_transform;0413.png
;;0;29,5;6,040895836088439;1,872852769848542;.\augmentedDataset\exp_transform;0414.png
;;1;22,5;7,684505543720393;1,997091522322038;.\augmentedDataset\exp_transform;0414.png
;;0;2,5;3,23606797749979;1,23606797749979;.\augmentedDataset\exp_transform;0416.png
;;0;34,0;8,137298831265829;2,247147937526314;.\augmentedDataset\exp_transform;0427.png
;;1;15,5;7,741101153300494;2,491723553627709;.\augmentedDataset\exp_transform;0427.png
;;2;3,5;12,372495067585522;2,886037699478259;.\augmentedDataset\exp_transform;0439.png
;;0;919,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0456.png
;;1;110,0;5,685009884989297;2,344961497712873;.\augmentedDataset\exp_transform;0472.png
;;0;3025,0;7,118052168020874;1,972026594366538;.\augmentedDataset\exp_transform;0474.png
;;2;45,0;4,199929796800163;1,166443184192932;.\augmentedDataset\exp_transform;0516.png
;;2;411,0;5,133805351608394;1,542315301534688;.\augmentedDataset\exp_transform;0557.png
;;0;861,0;14,152730592269702;3,668013893288554;.\augmentedDataset\exp_transform;0558.png
;;1;530,0;3,265986323710904;2,0;.\augmentedDataset\exp_transform;0558.png
;;0;2769,0;4,47213595499958;2,0;.\augmentedDataset\exp_transform;0598.png
;;1;678,0;8,958892953677347;2,356137906294479;.\augmentedDataset\exp_transform;0598.png
;;2;436,0;14,536966664355909;3,689089089148426;.\augmentedDataset\exp_transform;0598.png
